年月,京都,札幌,東京,仙台,名古屋,大阪,金沢,広島,高松,博多,那覇
23-Jan,39,71.5,15.5,10,25,46,197,45.5,32,93,55
23-Feb,36,104,40.5,31.5,44,33.5,114.5,61.5,41,43.5,77.5
23-Mar,91.5,35.5,145,61,95,76,131.5,64.5,65.5,80,81.5
23-Apr,208,61,90,47.5,144,196.5,171.5,246.5,126,149.5,221
23-May,253,21.5,159,124.5,173,232,231,255,159,218.5,100.5
23-Jun,228,133.5,347,173,377.5,262,255.5,219,153,211.5,400.5
23-Jul,74.5,61.5,30,155,144,100.5,202.5,307.5,79,485,92
23-Aug,195.5,69.5,132.5,30,156.5,163.5,40,48.5,246,191,738.5
23-Sep,70,146,229,272,98.5,44,108,115,62.5,93.5,204.5
23-Oct,60.5,88.5,147,46.5,116.5,77.5,173.5,8.5,27,17,81
23-Nov,63,126.5,41.5,45,70.5,92.5,344.5,33,60.5,50.5,56.5
23-Dec,26,47,19.5,50,60,19.5,363.5,56,21.5,44,183